"Reference","Study_common_taxon","Site_name","Sampling_effort","Longitude","Latitude","Species","Measurement","Effort_corrected_measurement"
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",2,2
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",2,2
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",3,3
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",2,2
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",2,2
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",5,5
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_Monteverde",10,-75.91937,5.11568,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_PlayaBonita",10,-75.93722,5.12382,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",1,1
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","FOR_ElPorvenir",10,-75.931757,5.12583,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",2,2
"Armbrecht et al. 2006","Formicidae","Sun_LaFelisa",10,-75.953728,5.12433,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaEstrella",10,-75.960316,5.13453,"",1,1
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","Sun_LaMaria",10,-75.947015,5.11915,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Monteverde",10,-75.92535,5.11813,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",2,2
"Armbrecht et al. 2006","Formicidae","MS_BuenoAires",10,-75.939189,5.10034,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",1,1
"Armbrecht et al. 2006","Formicidae","MS_Convenio",10,-75.942235,5.11307,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaI",10,-75.964694,5.129827,"",1,1
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaPlayitaII",10,-75.972944,5.112967,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",0,0
"Armbrecht et al. 2006","Formicidae","PS_LaClarita",10,-75.966683,5.110484,"",1,1
"Dominguez-Haydar and Armbrecht 2010","Formicidae","0yrs",20,-72.71416667,11.085,"geminata",3,3
